primaryID,secondaryID
Q18030407,Q4046163
Q18030408,Q7118787
Q18030436,Q7187511
Q18032200,Q7671585
Q18032212,Q15997233
Q18032220,Q7671951
Q18032223,Q7671990
Q18032228,Q7672027
Q18032251,Q7863817
Q18032257,Q7863827
Q18032266,Q7863840
Q18032274,Q15997251
Q18032287,Q7864649
Q18032294,Q7865505
Q18032296,Q7865571
Q18032334,Q4897099
Q18032336,Q7907493
Q18032340,Q7907557
Q18032357,Q7950420
Q18032392,Q4053330
Q18032406,Q8046083
Q18032408,Q8046081
Q18032410,Q16252859
Q18032451,Q8063191
Q18032473,Q8063229
Q18032512,Q8063155
Q18032532,Q8063162
Q18032539,Q8063165
Q18032565,Q8063166
Q18032603,Q6714360
Q18032649,Q4653836
Q18032676,Q4262876
Q18032712,Q7390222
Q18032713,Q4650978
Q18032719,Q7120992
Q18032754,Q7390769
Q18032793,Q7390759
Q18032817,Q5009890
Q18032822,Q5427448
Q18032836,Q16252280
Q18032838,Q5629733
Q18032839,Q5629739
Q18032851,Q5629750
Q18032854,Q5629757
Q18032856,Q5629758
Q18032865,Q5629760
Q18032909,Q7876173
Q18032935,Q5206913
Q18032940,Q5205067
Q18032947,Q4654901
Q18032961,Q5973587
Q18032971,Q2031321
Q18033067,Q5628977
Q18033085,Q4653307
Q18033117,Q6716443
Q18033120,Q7118832
Q18033147,Q7119569
Q18033163,Q5206118
Q18033169,Q7865204
Q18033176,Q4653130
Q18033179,Q18385808
Q18033181,Q6327110
Q18033200,Q5323167
Q18033201,Q5323166
Q18033202,Q7390892
Q18033211,Q7118881
Q18033229,Q4834426
Q18033234,Q7389833
Q18033249,Q5007691
Q18033257,Q4650983
Q18033260,Q5512942
Q18033263,Q177672
Q18033276,Q7276812
Q18033281,Q5635799
Q18033334,Q2849962
Q21173381,Q21144528
Q18040303,Q7276708
Q18040313,Q5635945
Q18040326,Q5007342
Q18040366,Q5007782
Q18040387,Q7275005
Q18040388,Q5009701
Q18040395,Q6047003
Q18040395,Q20007276
Q18040397,Q5629180
Q18040400,Q7671962
Q18040414,Q7119301
Q18040455,Q5008344
Q18040460,Q6332583
Q18040524,Q5014910
Q18040533,Q5205694
Q18040534,Q5012988
Q18040541,Q7275795
Q18040574,Q5513957
Q18040586,Q6720428
Q18040590,Q7390528
Q18040602,Q4835182
Q18040606,Q7392421
Q18040609,Q6955588
Q18040688,Q6591655
Q18040703,Q12745302
Q18040751,Q56354000
Q18040818,Q7118503
Q18040979,Q5514293
Q18040991,Q6954647
Q18041030,Q15997160
Q18041074,Q7866815
Q18041076,Q3648573
Q18041082,Q6953341
Q18041093,Q5322961
Q18041118,Q7864634
Q18041212,Q7390906
Q18041251,Q7277206
Q18041269,Q4651761
Q18041273,Q5513508
Q18041279,Q7394966
Q18041344,Q4652981
Q18041347,Q7276396
Q18041355,Q6953053
Q18041364,Q5009954
Q18041378,Q15997208
Q18041398,Q4651181
Q18041417,Q5424352
Q18041419,Q15996994
Q18041425,Q5513149
Q18041441,Q5008104
Q18041445,Q5012775
Q18041473,Q7120171
Q18041500,Q7671417
Q18067186,Q20771030
Q18067295,Q20768744
Q286987,Q18016400
Q286987,Q18204474
Q390540,Q17984109
Q390540,Q17984113
Q390540,Q18023163
Q417743,Q18030366
Q508356,Q18021626
Q508356,Q65295400
Q1022703,Q18035175
Q1632039,Q18016434
Q3631793,Q18033209
Q4050587,Q18051806
Q4316436,Q18030219
Q4649948,Q18034477
Q4650067,Q18047990
Q4650492,Q17709178
Q4734885,Q18016424
Q4833116,Q18016448
Q4955708,Q18016449
Q5013193,Q18038747
Q5038728,Q18022116
Q5044069,Q17909186
Q5049047,Q5204912
Q5049047,Q17913960
Q5055039,Q18021112
Q5104299,Q18021133
Q5145891,Q18021620
Q5148523,Q18021961
Q5198265,Q18021139
Q5458077,Q18024332
Q5470358,Q18024352
Q5514469,Q18055368
Q5973327,Q18058339
Q6715136,Q18028967
Q7261255,Q14916504
Q7276587,Q18035635
Q7276682,Q18056508
Q7391779,Q18031615
Q7672588,Q18035542
Q7864100,Q18032276
Q12009087,Q14820686
Q12009087,Q54328358
Q12274528,Q5013668
Q12274528,Q18021738
Q14865358,Q26208981
Q14876614,Q3357475
Q18053535,Q6107744
Q18053538,Q15996577
Q18053677,Q6953469
Q18053715,Q8046038
Q18053719,Q6327386
Q18053809,Q5629725
Q18053824,Q7395280
Q18053883,Q5514356
Q18053891,Q6714374
Q18053914,Q7669372
Q18053941,Q7394715
Q18053942,Q6955032
Q18054060,Q1521772
Q18054124,Q15996615
Q21106402,Q7670082
Q21106493,Q4059410
Q21107260,Q17174381
Q14911717,Q16596413
Q14911717,Q18026608
Q14911732,Q17387434
Q14911732,Q17387456
Q14911732,Q18248260
Q14911732,Q21659817
Q21101832,Q21151882
Q18030560,Q7119413
Q18030564,Q1422890
Q18030575,Q7119566
Q18030603,Q7119667
Q18030616,Q7119752
Q18030617,Q7119753
Q18030620,Q7119774
Q18030629,Q7119776
Q18030637,Q7389765
Q18030639,Q3500847
Q18030644,Q7119947
Q18030644,Q19598681
Q18030647,Q5205763
Q18030649,Q7119968
Q18030651,Q7119962
Q18030653,Q7119963
Q18030657,Q7119969
Q18030660,Q7119979
Q18030663,Q7119992
Q18030668,Q7120054
Q18030721,Q7120167
Q18030726,Q7120174
Q18030731,Q7120185
Q18030765,Q7120333
Q18030791,Q6714394
Q18030825,Q15997067
Q18030855,Q7120693
Q18030858,Q7120697
Q18030870,Q7120707
Q18030875,Q7120711
Q18030879,Q7120721
Q18030884,Q7120714
Q18030892,Q7120744
Q18030898,Q7250945
Q18030930,Q7121009
Q18030932,Q7120998
Q18030941,Q7121015
Q18030957,Q7121027
Q18030972,Q4650079
Q18030993,Q7275037
Q18030994,Q1568526
Q18031010,Q7275082
Q18031025,Q7275739
Q18031027,Q7275738
