?primaryID	?secondaryID
Q18033362	Q2850211
Q18033367	Q7276666
Q18033393	Q1392706
Q18033406	Q7394949
Q18033409	Q7394948
Q18033421	Q5971729
Q18033484	Q4652312
Q18033495	Q7907348
Q18033496	Q7907346
Q18033511	Q5323156
Q18033518	Q5198262
Q18033545	Q7275044
Q18033556	Q5629715
Q18033601	Q1421294
Q18033678	Q7670863
Q18033768	Q15996659
Q18033776	Q7389718
Q18033786	Q7120767
Q18033789	Q15996783
Q18033825	Q7866817
Q18033828	Q7866820
Q18033844	Q7390776
Q18033846	Q7118829
Q18033856	Q6327141
Q18033872	Q5206912
Q18033873	Q1024498
Q18033880	Q7118658
Q18033892	Q4653207
Q18033894	Q7275839
Q18033927	Q6714186
Q18033938	Q3648905
Q18033942	Q5512998
Q18033946	Q15996964
Q18033952	Q6714416
Q18033958	Q5974802
Q18033962	Q5013429
Q18033970	Q5514277
Q18033978	Q4654853
Q18033990	Q4650537
Q18034014	Q7906486
Q18034022	Q7390956
Q18034030	Q5013680
Q18034046	Q6955210
Q18034060	Q15996934
Q18034061	Q5971047
Q18034062	Q7394784
Q18034064	Q7276295
Q18034064	Q19602616
Q18034066	Q6459753
Q18034078	Q5014992
Q18034081	Q8063177
Q18034083	Q6327112
Q18034117	Q5013944
Q18034258	Q5635442
Q18034305	Q6047021
Q18034309	Q5323178
Q18034320	Q7394889
Q18034337	Q4651003
Q18034337	Q65226815
Q18034345	Q7669560
Q18034350	Q7907456
Q18034354	Q4834552
Q18034398	Q7275961
Q18034403	Q7956061
Q18034412	Q7277216
Q18034418	Q7277237
Q18034495	Q7391808
Q18034504	Q7276678
Q18034528	Q6715957
Q18034530	Q7120129
Q18034577	Q5204847
Q18034596	Q907305
Q18034596	Q5323830
Q18034598	Q5010319
Q18034620	Q7275000
Q18034657	Q7119224
Q18034661	Q4835198
Q18034669	Q1908969
Q18034671	Q7391927
Q18034672	Q5205070
Q14911717	Q16596413
Q14911717	Q18026608
Q14911732	Q17387434
Q14911732	Q17387456
Q14911732	Q18248260
Q14911732	Q21659817
Q17816656	Q4032930
Q17825899	Q4652753
Q17825949	Q1373500
Q17825949	Q4652755
Q17828456	Q15996553
Q17828883	Q15996555
Q17829092	Q4653366
Q17829130	Q4653227
Q17829281	Q4653231
Q17831432	Q4059418
Q17831995	Q4653802
Q17832622	Q4654648
Q17832866	Q4654777
Q17833354	Q4654811
Q17833599	Q4654884
Q17834057	Q4654823
Q17834261	Q4654827
Q17834752	Q4654849
Q17847659	Q5629105
Q17847898	Q48997650
Q17850045	Q4836125
Q17854344	Q7121046
Q17854780	Q5054722
Q17854816	Q904963
Q17855536	Q5008620
Q17855574	Q5008623
Q17855794	Q5008748
Q17855822	Q5008754
Q17855895	Q5049055
Q17856017	Q5009087
Q18057803	Q1520424
Q18057983	Q5514691
Q18058117	Q6716209
Q18058117	Q89656883
Q18058192	Q7670862
Q18058369	Q5323142
Q18058613	Q1521482
Q18032200	Q7671585
Q18032212	Q15997233
Q18032220	Q7671951
Q18032223	Q7671990
Q18032228	Q7672027
Q18032251	Q7863817
Q18032257	Q7863827
Q18032266	Q7863840
Q18032274	Q15997251
Q18032287	Q7864649
Q18032294	Q7865505
Q18032296	Q7865571
Q18032334	Q4897099
Q18032336	Q7907493
Q18032340	Q7907557
Q18032357	Q7950420
Q18032392	Q4053330
Q18032406	Q8046083
Q18032408	Q8046081
Q18032410	Q16252859
Q18032451	Q8063191
Q18032473	Q8063229
Q18032512	Q8063155
Q18032532	Q8063162
Q18032539	Q8063165
Q18032565	Q8063166
Q18032603	Q6714360
Q18032649	Q4653836
Q18032676	Q4262876
Q18032712	Q7390222
Q18032713	Q4650978
Q18032719	Q7120992
Q18032754	Q7390769
Q18032793	Q7390759
Q18032817	Q5009890
Q18032822	Q5427448
Q18032836	Q16252280
Q18032838	Q5629733
Q18032839	Q5629739
Q18032851	Q5629750
Q18032854	Q5629757
Q18032856	Q5629758
Q18032865	Q5629760
Q18032909	Q7876173
Q18032935	Q5206913
Q18032940	Q5205067
Q18032947	Q4654901
Q18032961	Q5973587
Q18032971	Q2031321
Q18033067	Q5628977
Q18033085	Q4653307
Q18033117	Q6716443
Q18033120	Q7118832
Q18033147	Q7119569
Q18033163	Q5206118
Q18033169	Q7865204
Q18033176	Q4653130
Q18033179	Q18385808
Q18033181	Q6327110
Q18033200	Q5323167
Q18033201	Q5323166
Q18033202	Q7390892
Q18033211	Q7118881
Q18033229	Q4834426
Q18033234	Q7389833
Q18033249	Q5007691
Q18033257	Q4650983
Q18033260	Q5512942
Q18033263	Q177672
Q18033276	Q7276812
Q18033281	Q5635799
Q18033334	Q2849962
Q18048235	Q8063157
Q18048275	Q4835955
Q18048283	Q5512802
Q18048526	Q7933484
Q18048545	Q4044959
Q18048581	Q5013294
Q18048623	Q660094
Q18048630	Q5013836
Q18048648	Q6716955
Q18048675	Q15996668
Q18048701	Q5971050
Q18048730	Q15996849
Q18048736	Q21152014
Q18048744	Q4654867
Q18048780	Q7390003
Q18048815	Q4650069
Q18048856	Q15996820
Q18048871	Q5205015
Q18048879	Q5513602
Q18048906	Q5007791
Q18048916	Q5014965
Q18048946	Q7671381
Q18048986	Q5010957
Q18049009	Q5324049
Q18049077	Q18387340
Q18049087	Q8063210
Q18049117	Q7670695
Q18049137	Q7390824
Q18049153	Q5424779
