primaryID,secondaryID
Q389934,Q103854615
Q389934,Q109297956
Q409205,Q56658295
Q410943,Q97235588
Q410943,Q103855010
Q424744,Q28714339
Q899336,Q56672312
Q911571,Q56638519
Q1313132,Q55339351
Q1370541,Q9072798
Q2343294,Q11824086
Q2470597,Q12774681
Q2746959,Q19706870
Q5836105,Q14650090
Q5857145,Q16382923
Q5857145,Q97516522
Q6881918,Q5697347
Q6881918,Q6019104
Q6881918,Q12038232
Q6881918,Q21086639
Q6881918,Q21864308
Q6881918,Q50430328
Q18351124,Q1659860
Q25324102,Q471613
Q184398,Q12559234
Q184398,Q12818628
Q184398,Q22934913
Q497073,Q12829068
Q497073,Q21086619
Q505199,Q50430275
Q863389,Q5734926
Q1124672,Q72460904
Q2869808,Q48566626
Q4726988,Q65162414
Q308976,Q13172892
Q308976,Q55701130
Q308976,Q72507518
Q764245,Q12376088
Q764245,Q12716113
Q764245,Q86010072
Q5368263,Q48566780
Q7531599,Q48566829
Q17125410,Q28859606
Q17125410,Q48566741
Q22673321,Q48566809
Q28859597,Q48566644
Q48564241,Q65168215
Q72460907,Q4233114
Q98655215,Q118136155
Q424081,Q12528813
Q548414,Q10297113
Q548414,Q12529371
Q548414,Q12818231
Q568469,Q989674
Q568469,Q12103924
Q844593,Q13169883
Q864939,Q12086966
Q864939,Q13166983
Q864939,Q31297391
Q900775,Q62608813
Q906330,Q12086559
Q907644,Q16719464
Q1409184,Q26218520
Q2374391,Q3510573
Q2374391,Q8191375
Q2374391,Q13367956
Q2374391,Q14915511
Q3127040,Q4483649
Q3127040,Q5013233
Q3604635,Q3769307
Q3604635,Q9376194
Q4747074,Q48566712
Q4998036,Q20415789
Q4998036,Q48566760
Q4998036,Q118868678
Q6457467,Q117774072
Q18435446,Q2647434
Q21601948,Q49180456
Q27104812,Q27902942
Q27281644,Q27902951
Q28859612,Q48566698
Q30715691,Q25695793
Q48564239,Q19607683
Q7946,Q13057646
Q7946,Q13116747
Q7946,Q13159027
Q7946,Q26235505
Q124695,Q12827883
Q124695,Q25593927
Q169336,Q1107999
Q169336,Q10295297
Q169336,Q12575982
Q169336,Q12980049
Q169336,Q61068075
Q169336,Q97253632
Q181394,Q11890296
Q181394,Q11890296
Q181394,Q12535489
Q181394,Q12535489
Q181394,Q12897295
Q181394,Q12897295
Q181394,Q19745410
Q181394,Q19745410
Q181394,Q31297370
Q181394,Q31297370
Q373957,Q25113784
Q394316,Q12526872
Q394316,Q57072714
Q394316,Q103854612
Q417074,Q11315419
Q418279,Q29864302
Q423964,Q18657389
Q423964,Q55611080
Q424085,Q103856269
Q542929,Q6087401
Q542929,Q21157847
Q542929,Q45342745
Q902863,Q10359949
Q2282401,Q103854934
Q2356542,Q11795899
Q2356542,Q12147125
Q2356542,Q12781323
Q2356542,Q20180716
Q2356542,Q23766403
Q174723,Q65309139
Q174937,Q12412879
Q174937,Q21086637
Q181619,Q65400720
Q181619,Q66589548
Q186257,Q5979201
Q186257,Q65167787
Q191381,Q13172821
Q191831,Q12414037
Q191831,Q97264422
Q204030,Q12457087
Q204594,Q27094795
Q204714,Q12428831
Q204714,Q20963667
Q204717,Q111931654
Q207843,Q12630277
Q207843,Q65284696
Q207843,Q97482307
Q209450,Q3594644
Q209450,Q12462161
Q211433,Q13174350
Q211972,Q13174162
Q252251,Q12569363
Q252251,Q27286306
Q254296,Q16124948
Q254296,Q18364894
Q259015,Q27089065
Q259930,Q16117881
Q271980,Q12441968
Q285790,Q30973100
Q291271,Q86004601
Q300850,Q12457535
Q300850,Q12457536
Q309528,Q15726076
Q347337,Q113100472
