?primaryID	?secondaryID
Q18040133	Q5197273
Q18040149	Q8063214
Q18040217	Q7392540
Q18040221	Q499716
Q18040222	Q7392682
Q18040251	Q7119989
Q18040254	Q6717569
Q18040264	Q5323162
Q18040273	Q21152037
Q7667890	Q21111792
Q7671461	Q21107794
Q7684469	Q21106680
Q7686858	Q21124325
Q7865201	Q21122914
Q7900869	Q21139408
Q7922674	Q21105699
Q7941454	Q21111464
Q8072290	Q21113602
Q12752331	Q21113430
Q14913250	Q21113275
Q18026285	Q5513981
Q18026305	Q5514113
Q18026313	Q5514142
Q18026347	Q5514256
Q18026355	Q7002540
Q18026358	Q12746325
Q18026375	Q5514247
Q18026393	Q5514254
Q18026470	Q5514358
Q18026487	Q1486722
Q18026530	Q5514484
Q18026665	Q5514800
Q18026748	Q5629714
Q18026756	Q5629729
Q18026776	Q5628900
Q18026793	Q5628960
Q18026802	Q5629016
Q18026854	Q12746419
Q18026892	Q5629625
Q18026900	Q5629664
Q18026935	Q5630141
Q18026955	Q17152649
Q18026994	Q6738346
Q18026999	Q5630220
Q18027035	Q5952723
Q18027046	Q5426933
Q18027065	Q5384464
Q18027086	Q5635337
Q18043095	Q7907068
Q18043095	Q11224228
Q21096399	Q7572125
Q18027096	Q5635340
Q18027153	Q5635507
Q18027155	Q5635510
Q18027174	Q5635516
Q18027196	Q5635519
Q18027233	Q5635571
Q18027244	Q5635585
Q18027296	Q7120361
Q18027314	Q5635943
Q18027329	Q5635957
Q18027345	Q5635982
Q18027351	Q3639302
Q18027367	Q15996658
Q18027437	Q4639599
Q18027442	Q4639606
Q18027509	Q3788471
Q18027543	Q5970026
Q18027607	Q5970821
Q18027610	Q13668739
Q18027673	Q3146663
Q18027731	Q5971020
Q18027731	Q12384912
Q18027731	Q19607051
Q18027810	Q5971597
Q18027817	Q5971722
Q18027864	Q6046972
Q18027927	Q16252329
Q18027927	Q18374114
Q18027940	Q5972353
Q18028054	Q15996709
Q18028056	Q15996710
Q18028073	Q5974897
Q18028101	Q3906155
Q18028141	Q6327025
Q18028182	Q6327089
Q18028199	Q6327080
Q18028202	Q6327083
Q18028212	Q6327105
Q18028217	Q6327118
Q18028260	Q6330666
Q18028277	Q6331052
Q17816656	Q4032930
Q17825899	Q4652753
Q17825949	Q1373500
Q17825949	Q4652755
Q17828456	Q15996553
Q17828883	Q15996555
Q17829092	Q4653366
Q17829130	Q4653227
Q17829281	Q4653231
Q17831432	Q4059418
Q17831995	Q4653802
Q17832622	Q4654648
Q17832866	Q4654777
Q17833354	Q4654811
Q17833599	Q4654884
Q17834057	Q4654823
Q17834261	Q4654827
Q17834752	Q4654849
Q17847659	Q5629105
Q17847898	Q48997650
Q17850045	Q4836125
Q21101832	Q21151882
Q18049374	Q1521763
Q18049431	Q1520948
Q18049432	Q7671154
Q18049444	Q5629791
Q18049448	Q17011233
Q18049529	Q7389745
Q18049598	Q15997263
Q18049613	Q2819379
Q18049613	Q4643789
Q18049635	Q5010179
Q18049636	Q7275894
Q18049788	Q5629786
Q18049821	Q5513550
Q18049828	Q1427804
Q18049867	Q1571330
Q18049973	Q7276329
Q18050057	Q5205705
Q18050119	Q5009795
Q18050338	Q7395269
Q18050472	Q7120090
Q18050580	Q6953164
Q18050621	Q5009775
Q18050649	Q6954851
Q18050653	Q1426727
Q21108566	Q18378646
Q15331874	Q18028727
Q15996565	Q18046803
Q15996927	Q17837622
Q17119392	Q18045549
Q17708701	Q4650325
Q17709258	Q4650837
Q17709536	Q4032892
Q17709600	Q4651066
Q17710293	Q4651120
Q17815968	Q5834612
Q17816607	Q4652245
Q17854344	Q7121046
Q17854780	Q5054722
Q17854816	Q904963
Q17855536	Q5008620
Q17855574	Q5008623
Q17855794	Q5008748
Q17855822	Q5008754
Q17855895	Q5049055
Q17856017	Q5009087
Q17859534	Q5323735
Q17859544	Q5323737
Q17859635	Q14088048
Q17859717	Q5009893
Q17859723	Q5009875
Q17859871	Q5009938
Q17861193	Q908777
Q17861522	Q5105069
Q17861547	Q15996587
Q17861723	Q5011083
Q17861971	Q5104344
Q17861982	Q5011323
Q17861983	Q16252168
Q17861998	Q5011866
Q17861999	Q7669529
Q17862007	Q5012535
Q17862091	Q4498254
Q17862108	Q4498257
Q17907793	Q5012800
Q17907803	Q5009687
Q17908602	Q5013427
Q21173381	Q21144528
Q286987	Q18016400
Q286987	Q18204474
Q390540	Q17984109
Q390540	Q17984113
Q390540	Q18023163
Q417743	Q18030366
Q508356	Q18021626
Q508356	Q65295400
Q1022703	Q18035175
Q1632039	Q18016434
Q3631793	Q18033209
Q4050587	Q18051806
Q4316436	Q18030219
Q4649948	Q18034477
Q4650067	Q18047990
Q4650492	Q17709178
Q4734885	Q18016424
Q4833116	Q18016448
Q4955708	Q18016449
Q5013193	Q18038747
Q5038728	Q18022116
Q5044069	Q17909186
Q5049047	Q5204912
Q5049047	Q17913960
Q5055039	Q18021112
Q5104299	Q18021133
Q5145891	Q18021620
Q5148523	Q18021961
Q5198265	Q18021139
Q5458077	Q18024332
Q5470358	Q18024352
Q5514469	Q18055368
Q5973327	Q18058339
Q6715136	Q18028967
Q7261255	Q14916504
Q7276587	Q18035635
Q7276682	Q18056508
Q7391779	Q18031615
Q7672588	Q18035542
Q7864100	Q18032276
Q12009087	Q14820686
Q12009087	Q54328358
Q12274528	Q5013668
Q12274528	Q18021738
Q14865358	Q26208981
Q14876614	Q3357475
Q18053535	Q6107744
Q18053538	Q15996577
Q18053677	Q6953469
Q18053715	Q8046038
Q18053719	Q6327386
Q18053809	Q5629725
Q18053824	Q7395280
Q18053883	Q5514356
Q18053891	Q6714374
Q18053914	Q7669372
Q18053941	Q7394715
Q18053942	Q6955032
Q18054060	Q1521772
Q18054124	Q15996615
Q18031403	Q7389196
Q18031434	Q7671276
Q18031476	Q7390143
Q18031502	Q7394617
Q18031521	Q7390784
Q18031535	Q142650
Q18031538	Q7390905
Q18031540	Q7390907
Q18031541	Q5572587
Q18031553	Q7553397
Q18031579	Q1738527
Q18031581	Q7390928
Q18031582	Q7390791
Q18031587	Q16252729
Q18031596	Q7391052
Q18031616	Q7391790
Q18031632	Q7543127
Q18031634	Q7391897
Q18031666	Q16252760
Q18031697	Q4048885
Q18031732	Q3931285
Q18031739	Q614943
Q18031751	Q7394694
Q18031755	Q7394704
Q18031756	Q7394707
Q18031761	Q7394765
Q18031776	Q7394891
Q18031782	Q7394980
Q18031791	Q7395034
Q18031808	Q7395270
Q18031813	Q7669164
Q18031821	Q7669236
Q18031828	Q7669242
Q18031834	Q4043382
Q18031839	Q7669324
Q18031844	Q7669352
Q18031847	Q7669527
Q18031852	Q7669572
Q18031879	Q7669678
Q18031879	Q7669680
Q18031897	Q7671298
Q18031925	Q7120143
Q18031936	Q7669920
Q18031953	Q7670079
Q18031953	Q21789534
Q18031961	Q7670095
Q18031980	Q7670220
Q18031997	Q7670421
Q18032008	Q7670592
Q18032013	Q7389585
Q18032022	Q7670689
Q18032076	Q15997223
Q18032094	Q7671244
Q18032096	Q15997225
Q21118989	Q21149475
Q17908634	Q5013426
Q17909078	Q5013555
Q17909085	Q2113671
Q17909993	Q5013960
Q17910149	Q5013963
Q17910294	Q5013969
Q17910994	Q5014370
Q17911655	Q5014935
Q17912137	Q5014978
Q17912301	Q5204196
Q17913822	Q5204735
Q17914020	Q1626443
Q17914044	Q5206867
Q17914049	Q5287183
Q17915097	Q5206306
Q17915098	Q5206314
Q17915106	Q5206325
Q17915108	Q5206384
Q17915374	Q5322678
Q17916076	Q5323061
Q17916236	Q15996672
Q17916776	Q6714473
Q17916874	Q5323841
Q17917650	Q5324597
Q17917752	Q5324741
Q17918420	Q5137665
Q17927049	Q5424288
Q17927936	Q5425467
Q17928333	Q5425503
Q27205	Q26998033
Q27205	Q60644171
Q27205	Q65284978
Q63398	Q21121611
Q171604	Q2807187
Q171604	Q21112208
Q205042	Q21150873
Q205042	Q25381217
Q223739	Q14851958
Q267200	Q539836
Q267200	Q12472130
Q267200	Q21422696
Q267200	Q66134617
Q288382	Q21119133
Q305481	Q18026453
Q305481	Q21097127
Q308856	Q21110870
Q356062	Q21418917
Q408305	Q21110733
Q408712	Q21106291
Q409450	Q21097211
Q409450	Q21142063
Q410485	Q21115114
Q412483	Q21111999
Q413766	Q21143305
Q413988	Q59992226
Q413988	Q59992226
Q415364	Q21124279
Q416481	Q21115030
Q419337	Q21112230
Q419337	Q85971025
Q419613	Q107231485
Q419983	Q5628933
Q419999	Q10384282
Q419999	Q85968405
Q420038	Q5572358
Q420267	Q21115374
Q421491	Q21110305
Q423510	Q21116133
Q425149	Q21115312
Q648315	Q21112669
Q798033	Q21113031
Q903924	Q21428952
Q907394	Q109044311
Q1198053	Q21115220
Q1500003	Q21110388
Q1620739	Q21116446
Q1634046	Q21104778
Q2034004	Q21116161
Q2045854	Q21106467
Q2067372	Q21121628
Q2100344	Q15997020
Q2100344	Q24783166
Q2248886	Q24720328
Q2248886	Q24720328
Q2248886	Q66563523
Q2248886	Q66563523
Q2630678	Q21114004
Q2640417	Q21113869
Q2805224	Q14914440
Q2807192	Q21112209
Q3067052	Q21106377
